# Export CSV started at 23/07/2024 10:30
# System name: "WECS_Odgaard_3_Blade_3.ame"
# Data set name: "1"
# ame_simulation_time;Vw;Ps;A3;A4;A5;A1;A2;A6;
# Time;Wind_speed;Power_sensor;Pitch angle_1;Pitch angle_2;Pitch angle_3;Rotor_speed_sensor;Generator_speed_sensor;Torque_sensor;
# s;m/s;W;deg;deg;deg;rpm;rpm;Nm;
17.6;14.6793;4.24537e+06;-0.0589826;-0.0589826;-0.0589826;14.2229;1340.46;2.3832e+06;
17.7;14.6793;4.25968e+06;0.0707503;0.0707503;0.0707503;13.7114;1344.2;2.39751e+06;
17.8;14.6793;4.27403e+06;0.0115016;0.0115016;0.0115016;14.302;1349.49;2.41186e+06;
17.9;14.6793;4.28788e+06;-0.0917309;-0.0917309;-0.0917309;14.1369;1353.57;2.42841e+06;
18;15.5992;4.3015e+06;-0.0650477;-0.0650477;-0.0650477;13.7175;1357.21;2.44691e+06;
18.1;15.5992;4.32173e+06;-0.0307305;-0.0307305;-0.0307305;14.9214;1365.19;2.46767e+06;
18.2;15.5992;4.34197e+06;-0.0248969;-0.0248969;-0.0248969;14.3572;1370.69;2.48903e+06;
18.3;15.5992;4.36145e+06;0.0254528;0.0254528;0.0254528;14.0988;1376.39;2.51015e+06;
18.4;15.5992;4.38039e+06;0.0746239;0.0746239;0.0746239;14.1764;1382.39;2.5358e+06;
18.5;15.5992;4.39954e+06;0.0326827;0.0326827;0.0326827;14.9251;1389.39;2.5558e+06;
18.6;15.5992;4.41905e+06;-0.0122515;-0.0122515;-0.0122515;14.5322;1394.92;2.57841e+06;
18.7;15.5992;4.43782e+06;0.0211071;0.0211071;0.0211071;14.4577;1400.65;2.60018e+06;
18.8;15.5992;4.45604e+06;0.0270879;0.0270879;0.0270879;14.835;1406.84;2.62331e+06;
18.9;15.5992;4.47454e+06;0.124072;0.124072;0.124072;14.6433;1412.33;2.64422e+06;
19;15.6826;4.49304e+06;0.117662;0.117662;0.117662;15.325;1419.04;2.66679e+06;
19.1;15.6826;4.51148e+06;0.0785571;0.0785571;0.0785571;15.2194;1424.63;2.68788e+06;
19.2;15.6826;4.52958e+06;0.0563171;0.0563171;0.0563171;14.6749;1429.49;2.71006e+06;
19.3;15.6826;4.54807e+06;0.0193308;0.0193308;0.0193308;15.4838;1436.38;2.7335e+06;
19.4;15.6826;4.56679e+06;-0.0104275;-0.0104275;-0.0104275;15.7072;1442.52;2.75634e+06;
19.5;15.6826;4.5847e+06;0.0870446;0.0870446;0.0870446;15.415;1447.68;2.77577e+06;
19.6;15.6826;4.60225e+06;-0.0165112;-0.0165112;-0.0165112;15.3088;1452.98;2.79829e+06;
19.7;15.6826;4.6202e+06;0.101526;0.101526;0.101526;15.5133;1458.86;2.82225e+06;
19.8;15.6826;4.63783e+06;0.228762;0.228762;0.228762;15.2895;1464.03;2.84104e+06;
19.9;15.6826;4.65493e+06;0.0913384;0.0913384;0.0913384;16.2668;1470.71;2.8644e+06;
20;13.9593;4.67164e+06;0.0887837;0.0887837;0.0887837;15.7861;1475.26;2.88181e+06;
20.1;13.9593;4.67861e+06;-0.0431131;-0.0431131;-0.0431131;15.1962;1476.6;2.89284e+06;
20.2;13.9593;4.686e+06;-0.191119;-0.191119;-0.191119;15.6467;1479.53;2.90309e+06;
20.3;13.9593;4.69291e+06;-0.105852;-0.105852;-0.105852;15.1493;1480.98;2.91082e+06;
20.4;13.9593;4.69951e+06;-0.147191;-0.147191;-0.147191;15.749;1483.87;2.91972e+06;
20.5;13.9593;4.70662e+06;-0.170217;-0.170217;-0.170217;16.1788;1486.69;2.93034e+06;
20.6;13.9593;4.71384e+06;-0.068654;-0.068654;-0.068654;15.3777;1487.81;2.93728e+06;
20.7;13.9593;4.72031e+06;0.035658;0.035658;0.035658;15.1984;1489.57;2.9448e+06;
20.8;13.9593;4.72652e+06;-0.00921874;-0.00921874;-0.00921874;15.6646;1492.16;2.95482e+06;
20.9;13.9593;4.73317e+06;0.110276;0.110276;0.110276;15.8571;1494.49;2.96374e+06;
21;14.7626;4.73979e+06;0.161663;0.161663;0.161663;15.6066;1496.2;2.96993e+06;
21.1;14.7626;4.75031e+06;0.0490188;0.0490188;0.0490188;15.9312;1499.92;2.98282e+06;
21.2;14.7626;4.76092e+06;-0.0984874;-0.0984874;-0.0984874;15.5475;1502.68;2.9952e+06;
21.3;14.7626;4.77224e+06;-0.167533;-0.167533;-0.167533;15.9265;1506.74;3.00996e+06;
21.4;14.7626;4.78362e+06;-0.16644;-0.16644;-0.16644;15.4532;1509.62;3.02195e+06;
21.5;14.7626;4.79443e+06;-0.191721;-0.191721;-0.191721;16.8927;1514.99;3.03937e+06;
21.6;14.7626;4.80492e+06;-0.0190078;-0.0190078;-0.0190078;15.8465;1516.79;3.05231e+06;
21.7;14.7626;4.81556e+06;0.115743;0.115743;0.115743;16.0456;1520.38;3.06693e+06;
21.8;14.7626;4.82604e+06;0.116302;0.116302;0.116302;16.3126;1524.01;3.0787e+06;
21.9;14.7626;4.83609e+06;0.00210515;0.00210515;0.00210515;15.8938;1526.55;3.09066e+06;
22;13.0055;4.84614e+06;-0.0991818;-0.0991818;-0.0991818;16.3002;1530.26;3.10469e+06;
22.1;13.0055;4.8477e+06;-0.0398417;-0.0398417;-0.0398417;16.1474;1530.54;3.10881e+06;
22.2;13.0055;4.84922e+06;-0.00192517;-0.00192517;-0.00192517;15.2672;1529.78;3.10747e+06;
22.3;13.0055;4.85028e+06;-0.0304569;-0.0304569;-0.0304569;15.9741;1531.1;3.11111e+06;
22.4;13.0055;4.85129e+06;-0.0579474;-0.0579474;-0.0579474;16.7735;1532.53;3.11541e+06;
22.5;13.0055;4.8527e+06;0.0776568;0.0776568;0.0776568;16.1306;1532.07;3.11573e+06;
22.6;13.0055;4.85406e+06;0.0948238;0.0948238;0.0948238;16.0887;1532.43;3.11679e+06;
22.7;13.0055;4.85501e+06;-0.00831068;-0.00831068;-0.00831068;16.874;1533.83;3.11991e+06;
22.8;13.0055;4.85597e+06;-0.0500275;-0.0500275;-0.0500275;15.9855;1532.88;3.12016e+06;
22.9;13.0055;4.85735e+06;-0.0331209;-0.0331209;-0.0331209;15.2298;1532.25;3.11832e+06;
23;14.9873;4.85903e+06;-0.138628;-0.138628;-0.138628;16.2244;1534.15;3.12251e+06;
23.1;14.9873;4.87059e+06;-0.125367;-0.125367;-0.125367;15.064;1536.12;3.13291e+06;
23.2;14.9873;4.882e+06;-0.17263;-0.17263;-0.17263;15.6252;1540.45;3.14809e+06;
23.3;14.9873;4.89377e+06;-0.134719;-0.134719;-0.134719;15.8166;1544.39;3.16502e+06;
23.4;14.9873;4.80072e+06;0.0663006;0.0663006;0.0663006;15.7521;1547.46;30214.5;
23.5;14.9873;4.8014e+06;0.526036;0.526036;0.526036;15.2248;1549.06;30172.6;
23.6;14.9873;4.79976e+06;1.1666;1.1666;1.1666;16.558;1552.46;30132;
23.7;14.9873;4.80154e+06;2.2266;2.2266;2.2266;15.13;1551.11;30130.4;
23.8;14.9873;4.80036e+06;2.56685;2.56685;2.56685;16.0827;1552.91;30113.8;
23.9;14.9873;4.80108e+06;2.8051;2.8051;2.8051;15.5077;1552.37;30113.1;
24;12.5282;4.80022e+06;2.88094;2.88094;2.88094;16.1334;1553.37;30105.8;
24.1;12.5282;4.80094e+06;2.73468;2.73468;2.73468;15.5446;1551.12;30138.3;
24.2;12.5282;4.79951e+06;2.41198;2.41198;2.41198;16.6814;1551.41;30155;
24.3;12.5282;4.80006e+06;2.02925;2.02925;2.02925;16.2205;1549.45;30184.5;
24.4;12.5282;4.80023e+06;1.66384;1.66384;1.66384;16.0772;1547.96;30211;
24.5;12.5282;4.79949e+06;1.17149;1.17149;1.17149;16.6547;1547.75;30226.4;
24.6;12.5282;4.89859e+06;0.801817;0.801817;0.801817;15.9986;1546.16;3.17551e+06;
