# Export CSV started at 23/07/2024 10:32
# System name: "WECS_Odgaard_3_Blade_3.ame"
# Data set name: "6"
# ame_simulation_time;Vw;Ps;A3;A4;A5;A1;A2;A6;
# Time;Wind_speed;Power_sensor;Pitch angle_1;Pitch angle_2;Pitch angle_3;Rotor_speed_sensor;Generator_speed_sensor;Torque_sensor;
# s;m/s;W;deg;deg;deg;rpm;rpm;Nm;
24.4;3.5282;436741;0.0292522;0.0292522;0.0292522;1.32815;146.805;28930.9;
24.5;3.5282;413081;0.0570776;0.0570776;0.0570776;1.88466;144.622;27934.6;
24.6;3.5282;387627;0.120905;0.120905;0.120905;1.20688;140.927;26730.6;
24.7;3.5282;365528;0.0979403;0.0979403;0.0979403;0.73237;137.666;25685.9;
24.8;3.5282;343876;-0.0914287;-0.0914287;-0.0914287;1.18878;135.864;24604.1;
24.9;3.5282;329086;-0.0858463;-0.0858463;-0.0858463;1.05905;133.386;23955.8;
25;2.93469;314785;-0.101366;-0.101366;-0.101366;2.02031;132.652;23283.3;
25.1;2.93469;295919;-0.0716119;-0.0716119;-0.0716119;1.30153;129.103;22325.7;
25.2;2.93469;279400;0.102708;0.102708;0.102708;1.17193;126.441;21498.7;
25.3;2.93469;262275;0.132562;0.132562;0.132562;0.568479;123.237;20569.9;
25.4;2.93469;251424;-0.0305912;-0.0305912;-0.0305912;1.77795;122.766;20073.9;
25.5;2.93469;236402;-0.0575921;-0.0575921;-0.0575921;1.19717;119.945;19195.5;
25.6;2.93469;227466;-0.100068;-0.100068;-0.100068;1.40729;118.321;18774.7;
25.7;2.93469;215263;0.117125;0.117125;0.117125;0.835665;115.63;18061.2;
25.8;2.93469;204484;0.0701151;0.0701151;0.0701151;0.978818;114.062;17426.2;
25.9;2.93469;195774;0.00449424;0.00449424;0.00449424;1.23533;112.792;16928.8;
26;5.31028;188109;0.0191597;0.0191597;0.0191597;1.24661;111.277;16487.2;
26.1;5.31028;201988;-0.0500484;-0.0500484;-0.0500484;1.48003;114.693;17218;
26.2;5.31028;216376;-0.150156;-0.150156;-0.150156;0.665939;116.402;17989.5;
26.3;5.31028;233815;-0.120553;-0.120553;-0.120553;1.80819;120.631;19006.6;
26.4;5.31028;246313;-0.109166;-0.109166;-0.109166;0.978649;121.877;19622.6;
26.5;5.31028;260433;-0.109073;-0.109073;-0.109073;0.961438;124.017;20381.5;
26.6;5.31028;272869;-0.0503457;-0.0503457;-0.0503457;0.911691;125.873;21024.6;
26.7;5.31028;284057;-0.0790797;-0.0790797;-0.0790797;1.13219;127.961;21578.6;
26.8;5.31028;296334;-0.108654;-0.108654;-0.108654;0.963704;129.399;22217;
26.9;5.31028;308244;-0.0727298;-0.0727298;-0.0727298;1.36658;131.478;22839.7;
27;3.15433;321944;0.0563866;0.0563866;0.0563866;2.54847;134.436;23622.1;
27.1;3.15433;299756;0.120323;0.120323;0.120323;0.308046;128.83;22417.7;
27.2;3.15433;287231;-0.0850377;-0.0850377;-0.0850377;1.75943;128.559;21873.3;
27.3;3.15433;273236;-0.00159062;-0.00159062;-0.00159062;1.30116;125.743;21173.1;
27.4;3.15433;256840;-0.0246013;-0.0246013;-0.0246013;0.0899543;122.025;20233.2;
27.5;3.15433;247189;-0.00384528;-0.00384528;-0.00384528;1.06521;121.444;19788.8;
27.6;3.15433;236131;0.110548;0.110548;0.110548;0.772833;119.17;19202.3;
27.7;3.15433;225514;0.171128;0.171128;0.171128;0.862642;117.546;18615;
27.8;3.15433;214898;0.12356;0.12356;0.12356;0.846068;115.904;17989.1;
27.9;3.15433;206636;0.024079;0.024079;0.024079;1.24328;114.942;17529.7;
28;6.23842;199573;-0.108648;-0.108648;-0.108648;1.48272;113.828;17141.9;
28.1;6.23842;231277;0.0191167;0.0191167;0.0191167;1.64619;120.165;18835.9;
28.2;6.23842;264379;0.0901534;0.0901534;0.0901534;1.63713;125.578;20584.7;
